"yt";"issued";"title";"value";"color";"type"
1142;1958;"Pinel Philippe (1745-1826)";"8 ₣ - French franc";"Black brown";"timbre"
1143;1958;"Widal Fernand (1862-1929)";"12 ₣ - French franc";"Blue violet";"timbre"
1144;1958;"Charles Nicolle (1866-1936)";"15 ₣ - French franc";"Dark blue";"timbre"
1145;1958;"René Leriche (1879-1955)";"35 ₣ - French franc";"Black";"timbre"
1146;1958;"Lagrange Joseph-Louis (1736-1813)";"8 ₣ - French franc";"Blue violet | Green blue";"timbre"
1147;1958;"Le Verrier Urbain (1811-1877)";"12 ₣ - French franc";"Black violet | Violet black";"timbre"
1148;1958;"Foucault Leon (1819-1868)";"15 ₣ - French franc";"Black olive | Green";"timbre"
1149;1958;"Berthollet Claude-Louis (1748-1822)";"35 ₣ - French franc";"Brown red | Carmine brown";"timbre"
1150;1958;"Lourdes";"20 ₣ - French franc";"Brown olive | Green blue";"timbre"
1151;1958;"Mechanization of rural distribution";"15+5 ₣ - French franc";"Multicolor";"timbre"
1152;1958;"Le Havre";"12 ₣ - French franc";"Carmine | Olive";"timbre"
1153;1958;"Maubeuge";"15 ₣ - French franc";"Blue violet | Brown";"timbre"
1154;1958;"Saint-Die";"18 ₣ - French franc";"Black blue | Blue";"timbre"
1155;1958;"Sete";"25 ₣ - French franc";"Multicolor";"timbre"
1156;1958;"EXPO- Bruxelles";"35 ₣ - French franc";"Multicolor";"timbre"
1157;1958;"Jean Cavailles (1903-1944)";"8 ₣ - French franc";"Black | Blue violet";"timbre"
1158;1958;"Fred Scamaroni (1914-1943)";"12 ₣ - French franc";"Green | Ultramarine";"timbre"
1159;1958;"Michel-Levy Simone (1906-1945)";"15 ₣ - French franc";"Violet brown | Violet grey";"timbre"
1160;1958;"Jacques Bingen (1908-1944)";"20 ₣ - French franc";"Black olive | Blue";"timbre"
1161;1958;"Bowls (Boules)";"12 ₣ - French franc";"Brown | Red";"timbre"
1162;1958;"water joust";"15 ₣ - French franc";"Multicolor";"timbre"
1163;1958;"Archery";"18 ₣ - French franc";"Brown | Green";"timbre"
1164;1958;"Breton wrestling";"25 ₣ - French franc";"Blue black | Brown";"timbre"
1165;1958;"Senlis- Cathedral";"15 ₣ - French franc";"Black blue | Dark blue";"timbre"
1166;1958;"Joachim du Bellay (1522-1560)";"12+4 ₣ - French franc";"Yellow green";"timbre"
1167;1958;"Jean Bart (1651-1702)";"12+4 ₣ - French franc";"Dark blue";"timbre"
1168;1958;"Denis Diderot (1713-1784)";"15+5 ₣ - French franc";"Dark lilac";"timbre"
1169;1958;"Gustave Courbet (1819-1877)";"15+5 ₣ - French franc";"Bright blue";"timbre"
1170;1958;"J.B. Carpeaux (1827-1875)";"20+8 ₣ - French franc";"Orange red";"timbre"
1171;1958;"Toulouse-Lautrec (1864-1901)";"35+15 ₣ - French franc";"Dark blue green";"timbre"
1172;1958;"Fragment of the tapestry of Queen Mathilde in Bayeux";"15 ₣ - French franc";"Blue | Brown carmine";"timbre"
1173;1958;"Europa - Dove over Letter E";"20 ₣ - French franc";"Red";"timbre"
1174;1958;"Europa - Dove over Letter E";"35 ₣ - French franc";"Bright blue";"timbre"
1175;1958;"Castle Foix";"15 ₣ - French franc";"Multicolor";"timbre"
1176;1958;"Paris - Rome Friendship";"35 ₣ - French franc";"Multicolor";"timbre"
1177;1958;"UNESCO Building";"20 ₣ - French franc";"Multicolor";"timbre"
1178;1958;"UNESCO Building";"35 ₣ - French franc";"Brownish red | Green";"timbre"
1179;1958;"Armistice 1918";"15 ₣ - French franc";"Multicolor";"timbre"
1180;1958;"Marseille";"50 French centime";"Bright blue";"timbre"
1181;1958;"Lyon";"70 French centime";"Multicolor";"timbre"
1182;1958;"Toulouse";"80 French centime";"Multicolor";"timbre"
1183;1958;"Bordeaux";"1 ₣ - French franc";"Multicolor";"timbre"
1184;1958;"Nice";"2 ₣ - French franc";"Multicolor";"timbre"
1185;1958;"Nantes";"3 ₣ - French franc";"Multicolor";"timbre"
1186;1958;"Lille";"5 ₣ - French franc";"Multicolor";"timbre"
1187;1958;"Saint Vincent de Paul (1581-1660)";"15+7 ₣ - French franc";"Carmine red | Green";"timbre"
1188;1958;"Henri Dunant (1828-1910)";"20+8 ₣ - French franc";"Blue violet | Carmine red";"timbre"
1189;1959;"Flowers exhibition Paris";"15 ₣ - French franc";"Multicolor";"timbre"
1190;1959;"Palmes Academiques 1808";"20 ₣ - French franc";"Multicolor";"timbre"
1191;1959;"Foucauld, Charles de (1856-1916)";"50 ₣ - French franc";"Multicolor";"timbre"
1192;1959;"Elysee Palace (Paris)";"30 ₣ - French franc";"Black olive";"timbre"
1193;1959;"Evian-les-Bains";"85 ₣ - French franc";"Dark lilac";"timbre"
1194;1959;"River Sens (Guadeloupe)";"100 ₣ - French franc";"Blue violet";"timbre"
1195;1959;"Alger";"15 ₣ - French franc";"Multicolor";"timbre"
1196;1959;"Night airmail service";"20+5 ₣ - French franc";"Multicolor";"timbre"
1197;1959;"Mining school";"20 ₣ - French franc";"Multicolor";"timbre"
1198;1959;"Five Martyrs of Lycée Buffon";"15 ₣ - French franc";"Black | Blue violet";"timbre"
1199;1959;"Yvonne Le Roux (1882-1945)";"15 ₣ - French franc";"Blue violet | Lilac";"timbre"
1200;1959;"Gilbert Médéric-Védy (1902-1944)";"20 ₣ - French franc";"Blue green | Green";"timbre"
1201;1959;"Louis Martin-Bret (1898-1944)";"20 ₣ - French franc";"Brown | Red Brown";"timbre"
1202;1959;"Gaston Moutardier (1889-1944)";"30 ₣ - French franc";"Blue violet | Lilac";"timbre"
1203;1959;"Foum el Gherza";"15 ₣ - French franc";"Brown olive | Green blue";"timbre"
1204;1959;"Marcoule";"20 ₣ - French franc";"Dark red lilac | Red Brown";"timbre"
1205;1959;"Hassi Messaoud";"30 ₣ - French franc";"Multicolor";"timbre"
1206;1959;"Palace of CNIT";"50 ₣ - French franc";"Green blue | Olive";"timbre"
1207;1959;"Villehardouin 1150 - 1212";"15+5 ₣ - French franc";"Blue violet";"timbre"
1208;1959;"Le Nôtre 1613 - 1700";"15+5 ₣ - French franc";"Russian green";"timbre"
1209;1959;"dAlembert 1717 - 1783";"20+10 ₣ - French franc";"Olive brown";"timbre"
1210;1959;"David dAngers 1788 - 1856";"20+10 ₣ - French franc";"Dark grey";"timbre"
1211;1959;"Xavier Bichat 1771 - 1802";"30+10 ₣ - French franc";"Purple";"timbre"
1212;1959;"Bartholdi 1834 - 1904";"30+10 ₣ - French franc";"Orange brown";"timbre"
1213;1959;"C. Goujon & C. Rozanoff";"20 ₣ - French franc";"Blue | Brownish red";"timbre"
1214;1959;"Desbordes-Valmore, Marceline (1786-1859)";"30 ₣ - French franc";"Multicolor";"timbre"
1215;1959;"Tancarville- Bridge";"30 ₣ - French franc";"Multicolor";"timbre"
1216;1959;"Marianne in the boat";"25 ₣ - French franc";"Grey black | Orange brown";"timbre"
1217;1959;"Jaurés, Jean (1859-1914)";"50 ₣ - French franc";"Dark lilac";"timbre"
1218;1959;"EUROPA - Closed Chain";"25 ₣ - French franc";"Green";"timbre"
1219;1959;"EUROPA - Closed Chain";"50 ₣ - French franc";"Blue violet";"timbre"
1220;1959;"Blood donation";"20 ₣ - French franc";"Black grey | Carmine";"timbre"
1221;1959;"Avesnes-sur-Helpe";"20 ₣ - French franc";"Multicolor";"timbre"
1222;1959;"Perpignan Castle";"30 ₣ - French franc";"Multicolor";"timbre"
1223;1959;"Pyrenees-treaty (1659)";"50 ₣ - French franc";"Multicolor";"timbre"
1224;1959;"Polio Vaccination";"20 ₣ - French franc";"Prussian blue";"timbre"
1225;1959;"Bergson, Henri (1859-1941)";"50 ₣ - French franc";"Orange brown";"timbre"
1226;1959;"Abbé Charles-Michel de lEpée (1712-1789)";"20+10 ₣ - French franc";"Multicolor";"timbre"
1227;1959;"Valentin Hauy (1745-1822)";"25+10 ₣ - French franc";"Multicolor";"timbre"
1228;1959;"N.A.T.O.";"50 ₣ - French franc";"Multicolor";"timbre"
1229;1959;"Marianne in the boat (disaster Frejus)";"25+5 ₣ - French franc";"Grey black | Orange brown";"timbre"
1230;1960;"LILLE";"0.05 ₣ - French franc";"Brown | Orange red";"timbre"
"1230A";1960;"Oran";"0.05 ₣ - French franc";"Multicolor";"timbre"
1231;1960;"Combine";"0.10 ₣ - French franc";"Emerald";"timbre"
1232;1960;"Alger";"0.15 ₣ - French franc";"Multicolor";"timbre"
1233;1960;"Sower of Piel (type I)";"0.20 ₣ - French franc";"Carmine | Green blue";"timbre"
"1233a";1961;"Sower of Piel (type II)";"0.20 ₣ - French franc";"Carmine | Green blue";"timbre"
1234;1960;"Marianne in the boat (type I)";"0.25 ₣ - French franc";"Blue | Orange red";"timbre"
"1234A";1961;"Sower line";"0.30 ₣ - French franc";"Green black | Ultramarine";"timbre"
"1234b";1960;"Marianne in the boat (type II)";"0.25 ₣ - French franc";"Blue | Orange red";"timbre"
1235;1960;"Laon Cathedral";"0.15 ₣ - French franc";"Blue | Cobalt";"timbre"
1236;1960;"Fougeres Chateau";"0.30 ₣ - French franc";"Multicolor";"timbre"
1237;1960;"Kerrata Gorges, Algeria";"0.45 ₣ - French franc";"Multicolor";"timbre"
1238;1960;"Tlemcen Mosque, Algeria";"0.50 ₣ - French franc";"Green | Violet purple";"timbre"
1239;1960;"Valley of the Sioule";"0.65 ₣ - French franc";"Multicolor";"timbre"
1240;1960;"Chaumont Railway Viaduct";"0.85 ₣ - French franc";"Multicolor";"timbre"
1241;1960;"Cilaos Church and Great Bénard Mountains, Réunion";"1 ₣ - French franc";"Multicolor";"timbre"
1242;1960;"Pierre de Nolhac (1859-1936)";"0.20 ₣ - French franc";"Brown black";"timbre"
1243;1960;"Museum of Art and Industry of Saint-Etienne";"0.30 ₣ - French franc";"Multicolor";"timbre"
1244;1960;"Cannes: Meeting of the States General of European Municipali";"0.50 ₣ - French franc";"Orange brown | Yellow green";"timbre"
1245;1960;"Cable ship Ampere";"0.20+0.05 ₣ - French franc";"Multicolor";"timbre"
1246;1960;"Woman and mountains";"0.30 ₣ - French franc";"Russian green";"timbre"
1247;1960;"Woman and Beach";"0.50 ₣ - French franc";"Multicolor";"timbre"
1248;1960;"Edmond Debeaumarche (1906-1959)";"0.20 ₣ - French franc";"Black | Olive brown";"timbre"
1249;1960;"Pierre Masse (1879-1942)";"0.20 ₣ - French franc";"Carmine | Dark carmine";"timbre"
1250;1960;"Maurice Ripoche (1895-1944)";"0.30 ₣ - French franc";"Blue violet | Bluish violet";"timbre"
1251;1960;"Leonce Vieljeux (1865-1944)";"0.30 ₣ - French franc";"Black blue | Blue";"timbre"
1252;1960;"René Bonpain (1908-1943)";"0.50 ₣ - French franc";"Green | Red Brown";"timbre"
1253;1960;"World Refugee Year";"0.25+0.10 ₣ - French franc";"Multicolor";"timbre"
1254;1960;"150 th anniversary of the first Normal School in Strasbourg";"0.20 ₣ - French franc";"Multicolor";"timbre"
1255;1960;"Blois Castle";"0.30 ₣ - French franc";"Multicolor";"timbre"
1256;1960;"La Bourboule";"0.50 ₣ - French franc";"Multicolor";"timbre"
1257;1960;"Michel de lHospital (1507-1573)";"0.10+0.05 ₣ - French franc";"Purple | Violet";"timbre"
1258;1960;"Turenne (1611-1675)";"0.20+0.10 ₣ - French franc";"Brown olive | Lilac brown";"timbre"
1259;1960;"Boileau (1636 -1711)";"0.20+0.10 ₣ - French franc";"Blue | Green";"timbre"
1260;1960;"Jean-Martin Charcot (1825-1893)";"0.30+0.10 ₣ - French franc";"Carmine red | Purple";"timbre"
1261;1960;"Bizet (1838-1875)";"0.30+0.10 ₣ - French franc";"Blue violet | Violet ultramarine";"timbre"
1262;1960;"Degas (1834-1917)";"0.50+0.15 ₣ - French franc";"Blue | Blue green";"timbre"
1263;1960;"Marianne type Decaris (type I)";"0.25 ₣ - French franc";"Carmine | Grey";"timbre"
"1263e";1960;"Marianne type Decaris (type II)";"0.25 ₣ - French franc";"Carmine | Grey";"timbre"
1264;1960;"20th Anniversary of June 18, 1940";"0.20 ₣ - French franc";"Multicolor";"timbre"
1265;1960;"Olympic Games- Rome. Jean Bouin (1888-1914)";"0.20 ₣ - French franc";"Multicolor";"timbre"
1266;1960;"E.P.T. Conference Emblem";"0.25 ₣ - French franc";"Blue green | Dark blue green";"timbre"
1267;1960;"E.P.T. Conference Emblem";"0.50 ₣ - French franc";"Lilac | Lilac purple";"timbre"
1268;1960;"The Basilica of Lisieux";"0.15 ₣ - French franc";"Multicolor";"timbre"
1269;1960;"Madame de Staël (1766-1817)";"0.30 ₣ - French franc";"Grey brown | Purple";"timbre"
1270;1960;"General Estienne (1860-1936)";"0.15 ₣ - French franc";"Blue violet | Brown black";"timbre"
1271;1960;"Marc Sangnier (1873-1950)";"0.20 ₣ - French franc";"Multicolor";"timbre"
1272;1960;"Order of the Liberation. 20th anniversary November 17, 1940";"0.20 ₣ - French franc";"Blue green | Violet black";"timbre"
1273;1960;"Northern Lapwing (Vanellus vanellus)";"0.20 ₣ - French franc";"Multicolor";"timbre"
1274;1960;"Atlantic Puffin (Fratercula arctica)";"0.30 ₣ - French franc";"Multicolor";"timbre"
"1274a";1960;"Atlantic Puffin (Fratercula arctica)";"0.30 ₣ - French franc";"Multicolor";"timbre"
1275;1960;"Common Teal (Anas crecca)";"0.45 ₣ - French franc";"Multicolor";"timbre"
1276;1960;"European Bee-eater (Merops apiaster)";"0.50 ₣ - French franc";"Multicolor";"timbre"
1277;1960;"Honnorat André (1858-1950)";"0.30 ₣ - French franc";"Multicolor";"timbre"
1278;1960;"Saint Martin, bâton de confrérie";"0.20+0.10 ₣ - French franc";"Purple | Red";"timbre"
1279;1960;"Church of St. Martin, Oise, sixteenth century";"0.25+0.10 ₣ - French franc";"Blue | Red";"timbre"
1280;1960;"500th Anniversary of St Barbe College";"0.30 ₣ - French franc";"Multicolor";"timbre"
1281;1961;"Aristide Maillol (1861-1944)";"0.20 ₣ - French franc";"Black blue | Red";"timbre"
1282;1961;"Marianne: Jean Cocteau";"0.20 ₣ - French franc";"Blue | Lilac red";"timbre"
"1282a";1962;"Marianne: Jean Cocteau";"0.20 ₣ - French franc";"Blue | Lilac red";"timbre"
1283;1961;"Paris airport - Orly";"0.50 ₣ - French franc";"Multicolor";"timbre"
1284;1961;"Georges Méliès (1861-1938)";"0.50 ₣ - French franc";"Multicolor";"timbre"
1285;1961;"Paris Postman of 1760";"0.20+0.05 ₣ - French franc";"Multicolor";"timbre"
1286;1961;"Tobacco - Jean Nicot 1561";"0.30 ₣ - French franc";"Multicolor";"timbre"
1287;1961;"Lacordaire (1802-1861)";"0.30 ₣ - French franc";"Brown black | Olive";"timbre"
1288;1961;"Jacques Renouvin (1905-1944)";"0.20 ₣ - French franc";"Blue | Violet";"timbre"
1289;1961;"Lionel Dubray (1923-1944)";"0.20 ₣ - French franc";"Blue | Green";"timbre"
1290;1961;"Paul Gateaud (1889-1944)";"0.30 ₣ - French franc";"Black | Orange brown";"timbre"
1291;1961;"Mother Elizabeth (1890-1945)";"0.30 ₣ - French franc";"Green black | Violet blue";"timbre"
1292;1961;"World Veterans Federation";"0.50 ₣ - French franc";"Multicolor";"timbre"
1293;1961;"Bagnoles-de-lOrne";"0.20 ₣ - French franc";"Multicolor";"timbre"
1294;1961;"Centenary of Deauville";"0.50 ₣ - French franc";"Purple";"timbre"
1295;1961;"Du Guesclin (1314-1380)";"0.15+0.05 ₣ - French franc";"Black | Carmine brown";"timbre"
1296;1961;"Pierre Puget ((1620-1694)";"0.20+0.10 ₣ - French franc";"Blue green | Cobalt";"timbre"
1297;1961;"Charles-Augustin de Coulomb (1736-1806)";"0.20+0.10 ₣ - French franc";"Brown red | Red lilac";"timbre"
1298;1961;"Comte Antoine Drouot (1774-1847)";"0.30+0.10 ₣ - French franc";"Black | Orange brown";"timbre"
1299;1961;"Honoré Daumier (1808-1879)";"0.45+0.10 ₣ - French franc";"Blue green | Carmine brown";"timbre"
1300;1961;"Guillaume Apollinaire  (1880-1918)";"0.50+0.15 ₣ - French franc";"Blue violet | Purple";"timbre"
1301;1961;"La Champmeslé (1642-1698) in the Role of Roxane";"0.20 ₣ - French franc";"Multicolor";"timbre"
1302;1961;"Talma in the Role of Orestes";"0.30 ₣ - French franc";"Multicolor";"timbre"
1303;1961;"Rachel in the Role of Phaedra";"0.30 ₣ - French franc";"Multicolor";"timbre"
1304;1961;"Raimu in the Role of Caesar Marcel Pagnol";"0.50 ₣ - French franc";"Multicolor";"timbre"
1305;1961;"Gerard Philipe (1922-1959) in the Role of El Cid";"0.50 ₣ - French franc";"Multicolor";"timbre"
1306;1961;"Mont Dore";"0.20 ₣ - French franc";"Lilac | Red orange";"timbre"
1307;1961;"Fauchard Pierre (1678-1761)";"0.50 ₣ - French franc";"Multicolor";"timbre"
1308;1961;"800th Anniversary of Thann";"0.20 ₣ - French franc";"Multicolor";"timbre"
1309;1961;"Europa 1961 : Doves";"0.25 ₣ - French franc";"Vermilion";"timbre"
1310;1961;"Europa 1961 : Doves";"0.50 ₣ - French franc";"Bright ultramarine";"timbre"
1311;1961;"Saint Paul de Vence";"0.15 ₣ - French franc";"Multicolor";"timbre"
1312;1961;"Arcachon";"0.30 ₣ - French franc";"Multicolor";"timbre"
1313;1961;"Sully sur Loire";"0.45 ₣ - French franc";"Multicolor";"timbre"
1314;1961;"Cognac";"0.50 ₣ - French franc";"Multicolor";"timbre"
"1314a";1961;"Cognac";"0.50 ₣ - French franc";"Multicolor";"timbre"
"1314b";1961;"Cognac";"0.50 ₣ - French franc";"Multicolor";"timbre"
1315;1961;"Dinan: Rance Valley";"0.65 ₣ - French franc";"Multicolor";"timbre"
1316;1961;"City Hall, Calais";"0.85 ₣ - French franc";"Multicolor";"timbre"
1317;1962;"300th Anniversary of Cession of Dunkirk to France";"0.95 ₣ - French franc";"Multicolor";"timbre"
1318;1961;"Ancient gates of Lodi, Madeira, Algeria";"1 ₣ - French franc";"Multicolor";"timbre"
1319;1961;"G. Braque (1882-1963): The Messenger";"0.50 ₣ - French franc";"Multicolor";"timbre"
1320;1961;"H. Matisse (1869-1954): Les nus bleus";"0.65 ₣ - French franc";"Multicolor";"timbre"
1321;1961;"Paul Cezanne (1839-1906) The Card Players";"0.85 ₣ - French franc";"Multicolor";"timbre"
1322;1961;"Roger de la Fresnaye (1885-1925) July 14 - Museum of Moder";"1 ₣ - French franc";"Multicolor";"timbre"
1323;1961;"Woodcut of Rouaults Miserere It would be so sweet to love";"0.20+0.10 ₣ - French franc";"Multicolor";"timbre"
1324;1961;"Woodcut of Rouaults Miserere. The blind has sometimes comfo";"0.25+0.10 ₣ - French franc";"Multicolor";"timbre"
1325;1962;"Passenger Ship France with Tugboat";"0.30 ₣ - French franc";"Multicolor";"timbre"
1326;1962;"Ski World Championships in Chamonix 1962: Downhill";"0.30 ₣ - French franc";"Blue violet | Violet blue";"timbre"
1327;1962;"Ski World Championships in Chamonix 1962: Slalom";"0.50 ₣ - French franc";"Multicolor";"timbre"
1328;1962;"Pierre-Fidele Bretonneau (1778-1862)";"0.50 ₣ - French franc";"Blue | Blue violet";"timbre"
1329;1962;"Maurice Bourdet (1902-1944)";"0.30 ₣ - French franc";"Dark blue grey";"timbre"
1330;1962;"Laval Castle and Bridge Across the Mayenne";"0.20 ₣ - French franc";"Brown | Green";"timbre"
1331;1962;"Gallic Cock (Gallus gallus domesticus)";"0.25 ₣ - French franc";"Multicolor";"timbre"
"1331A";1965;"Gallic Cock (Gallus gallus domesticus)";"0.30 ₣ - French franc";"Multicolor";"timbre"
"1331Ab";1965;"Coq de Decaris";"0.30 French centime";"Multicolor";"timbre"
"1331b";1962;"Gallic Cock (Gallus gallus domesticus)";"0.25 French centime";"Multicolor";"timbre"
"1331d";1962;"Gallic Cock (Gallus gallus domesticus)";"0.25 ₣ - French franc";"Multicolor";"timbre"
1332;1962;"Royal messenger from the late Middle Ages";"0.20+0.05 ₣ - French franc";"Multicolor";"timbre"
1333;1962;"Illuminated Ramparts, Vannes";"0.30 ₣ - French franc";"Violet ultramarine";"timbre"
1334;1962;"World Theatre Day March 27, 1962";"0.50 ₣ - French franc";"Multicolor";"timbre"
1335;1962;"Memorial of Fighting France, Mont Valerien";"0.20 ₣ - French franc";"Brown olive | Green";"timbre"
1336;1962;"In Memory of the Resistance in the Vercors";"0.30 ₣ - French franc";"Green black";"timbre"
1337;1962;"In Memory of the Resistance of the Ile de Sein";"0.50 ₣ - French franc";"Green blue | Grey blue";"timbre"
1338;1962;"The world united against malaria";"0.50 ₣ - French franc";"Multicolor";"timbre"
1339;1962;"National hospital week";"0.30 ₣ - French franc";"Multicolor";"timbre"
1340;1962;"Aviation and sports. gliding";"0.15 ₣ - French franc";"Brown orange | Carmine brown";"timbre"
1341;1962;"Aviation and sports. Pleasure flying";"0.20 ₣ - French franc";"Brown red | Lilac";"timbre"
1342;1962;"Centennial School of Watchmaking. Besancon UTINAM 1862-1962";"0.50 ₣ - French franc";"Multicolor";"timbre"
1343;1962;"Third centenary of the Gobelins";"0.50 ₣ - French franc";"Multicolor";"timbre"
1344;1962;"Blaise Pascal (1623-1662)";"0.50 ₣ - French franc";"Green | Red orange";"timbre"
1345;1962;"Denis Papin (1647-1714)";"0.15+0.05 ₣ - French franc";"Blue green | Brown black";"timbre"
1346;1962;"Emile Bouchardon (1698-1762)";"0.20+0.10 ₣ - French franc";"Brown | Brown lilac";"timbre"
1347;1962;"Joseph Lakanal 1762-1845";"0.20+0.10 ₣ - French franc";"Blue green | Grey blue";"timbre"
1348;1962;"Gustave Charpentier (1860-1956)";"0.30+0.10 ₣ - French franc";"Blue | Cobalt";"timbre"
1349;1962;"Edouard Estaunie (1862-1942)";"0.45+0.15 ₣ - French franc";"Carmine brown | Orange brown";"timbre"
1350;1962;"Hyacinthe Vincent (1862-1950)";"0.50+0.20 ₣ - French franc";"Black | Green blue";"timbre"
1351;1962;"Palace of Justice, Rennes";"0.30 ₣ - French franc";"Multicolor";"timbre"
"1351A";1964;"Niort";"0.01 ₣ - French franc";"Multicolor";"timbre"
"1351B";1964;"Guéret";"0.02 ₣ - French franc";"Multicolor";"timbre"
1352;1962;"Amiens";"0.05 ₣ - French franc";"Multicolor";"timbre"
1353;1963;"Troyes";"0.10 ₣ - French franc";"Multicolor";"timbre"
"1353A";1964;"Agen";"0.12 ₣ - French franc";"Multicolor";"timbre"
"1353a";1970;"Troyes";"0.10 ₣ - French franc";"Multicolor";"timbre"
1354;1962;"Nevers";"0.15 ₣ - French franc";"Multicolor";"timbre"
"1354A";1964;"Saint-Denis (Réunion)";"0.18 ₣ - French franc";"Multicolor";"timbre"
"1354B";1965;"Paris";"0.30 ₣ - French franc";"Red | Violet blue";"timbre"
1355;1962;"Le Touquet Paris-Plage";"1 ₣ - French franc";"Multicolor";"timbre"
1356;1962;"modern rose";"0.20 ₣ - French franc";"Multicolor";"timbre"
1357;1962;"Old Rose";"0.30 ₣ - French franc";"Multicolor";"timbre"
1358;1962;"C.E.P.T.- Tree";"0.25 ₣ - French franc";"Blue violet";"timbre"
1359;1962;"C.E.P.T.- Tree";"0.50 ₣ - French franc";"Brown orange";"timbre"
1360;1962;"Pleumeur Bodou. Center for Space communications";"0.25 ₣ - French franc";"Multicolor";"timbre"
1361;1962;"Pleumeur Bodou. First link satellite TV";"0.50 ₣ - French franc";"Multicolor";"timbre"
1362;1963;"Nancay: Radio telescope";"0.50 ₣ - French franc";"Carmine brown | Violet ultramarine";"timbre"
1363;1962;"Hello Mr Courbet by Courbet (1819-1877)";"0.50 ₣ - French franc";"Multicolor";"timbre"
1364;1962;"Madame Manet on a blue sofa. Edouard Manet (1832-1883)";"0.65 ₣ - French franc";"Multicolor";"timbre"
1365;1962;"Theodore Gericault (1761-1824) Officer of chasseurs Louvre";"1 ₣ - French franc";"Multicolor";"timbre"
1366;1962;"Fragonard (1732-1806) Rosalie Fragonard";"0.20+0.10 French centime";"Dark brown purple | Red";"timbre"
1367;1962;"Fragonard (1732-1806) The Child in Pierrot";"0.25+0.10 French centime";"Black grey green | Red";"timbre"
1368;1963;"Bathyscaphe Archimedes. Diving record 9200 m";"0.30 ₣ - French franc";"Black | Violet blue";"timbre"
1369;1963;"Nantes Flower Show";"0.30 ₣ - French franc";"Multicolor";"timbre"
1370;1963;"Jacques Amyot (1513-1593)";"0.20+0.10 ₣ - French franc";"Multicolor";"timbre"
1371;1963;"Etienne Mehul (1763-1817)";"0.20+0.10 ₣ - French franc";"Multicolor";"timbre"
1372;1963;"Pierre de Marivaux (1688-1763)";"0.30+0.10 ₣ - French franc";"Blue green | Lilac purple";"timbre"
1373;1963;"Nicolas-Louis Vauquelin (1763-1829)";"0.30+0.10 ₣ - French franc";"Multicolor";"timbre"
1374;1963;"Jacques Daviel (1693-1762)";"0.50+0.20 ₣ - French franc";"Multicolor";"timbre"
1375;1963;"Alfred de Vigny (1797-1863)";"0.50+0.20 ₣ - French franc";"Multicolor";"timbre"
1376;1963;"Delacroix : Jacob Wrestling with the Angel";"0.50 ₣ - French franc";"Multicolor";"timbre"
1377;1963;"Conches: Church of Sainte Foy";"1 ₣ - French franc";"Multicolor";"timbre"
1378;1963;"Post Gallo-Roman";"0.20+0.05 ₣ - French franc";"Carmine brown | Orange brown";"timbre"
1379;1963;"Starving woman grabs three ears of wheat";"0.50 ₣ - French franc";"Green | Red Brown";"timbre"
1380;1963;"In memory of resistant Glières";"0.30 ₣ - French franc";"Brown olive | Lilac";"timbre"
1381;1963;"Crypt of the deportees - Ile de la Cite, Paris";"0.50 ₣ - French franc";"Green black";"timbre"
1382;1963;"Ludwig van Beethoven (1770-1827)";"0.20 ₣ - French franc";"Multicolor";"timbre"
1383;1963;"Emile Verhaeren (1855-1916)";"0.20 ₣ - French franc";"Multicolor";"timbre"
1384;1963;"Giuseppe Mazzini (1805-1872)";"0.20 ₣ - French franc";"Multicolor";"timbre"
1385;1963;"Emile Mayrisch (1862-1928)";"0.20 ₣ - French franc";"Multicolor";"timbre"
1386;1963;"Hugo de Groot (1583-1645)";"0.30 ₣ - French franc";"Multicolor";"timbre"
1387;1963;"1st International Postal Conference, Paris Hotel Post 1863";"0.50 ₣ - French franc";"Brown black";"timbre"
1388;1963;"Fourth centenary of the Lycee Louis le Grand";"0.30 ₣ - French franc";"Black blue green";"timbre"
1389;1963;"36th French Philatelic Societies Federation Congress, Caen";"0.30 ₣ - French franc";"Brown | Grey blue";"timbre"
1390;1963;"Amboise Castle";"0.30 ₣ - French franc";"Multicolor";"timbre"
1391;1963;"Cote dAzur, Var";"0.50 ₣ - French franc";"Multicolor";"timbre"
1392;1963;"Saint-Flour";"0.60 ₣ - French franc";"Multicolor";"timbre"
"1392A";1964;"Caesars Tower, Provins";"0.70 ₣ - French franc";"Blue green | Grey | Pink";"timbre"
"1392Aa";1964;"Caesars Tower, Provins";"0.70 ₣ - French franc";"Blue green | Grey | Pink";"timbre"
"1392Ab";1964;"Caesars Tower, Provins";"0.70 ₣ - French franc";"Blue green | Grey | Pink";"timbre"
1393;1963;"Vittel";"0.85 ₣ - French franc";"Multicolor";"timbre"
1394;1963;"Church and Cloisters, Moissac";"0.95 ₣ - French franc";"Brown black";"timbre"
"1394A";1964;"Notre-Dame Chapel, Haut-Ronchamp (Haute-Saone)";"1.25 ₣ - French franc";"Multicolor";"timbre"
1395;1963;"World Championships of skiing";"0.30 ₣ - French franc";"Multicolor";"timbre"
1396;1963;"Europa C.E.P.T.";"0.25 ₣ - French franc";"Dark red brown";"timbre"
1397;1963;"Europa C.E.P.T.";"0.50 ₣ - French franc";"Dark blue green";"timbre"
1398;1963;"Chagall - The Betrothed and Eiffel Tower";"0.85 ₣ - French franc";"Multicolor";"timbre"
